Group hierarchy;Region;Service;Upfront;Monthly;First 12 months total;Currency;Configuration summary
My Estimate;US East (N. Virginia);Amazon Virtual Private Cloud (VPC);0;724.05;8688.60;USD;Number of NAT Gateways (1)
My Estimate;US East (N. Virginia);S3 Standard;0;484.75;5817.00;USD;S3 Standard storage (15 TB per month)
My Estimate;US East (N. Virginia);Data Transfer;0;0;0.00;USD;Data Transfer
My Estimate;US East (N. Virginia);Amazon EC2;3956;409.6;8871.20;USD;Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (m5.xlarge)
My Estimate;US East (N. Virginia);Elastic Load Balancing;0;56.21;674.52;USD;Number of Application Load Balancers (2)
My Estimate;US East (N. Virginia);Amazon Virtual Private Cloud (VPC);0;2401.19;28814.28;USD;Data Transfer, Data transfer cost (2401.19)
My Estimate;US East (N. Virginia);Amazon RDS for PostgreSQL;7458;2355.2;35720.40;USD;Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (5 TB per month), Instance type (db.m5.xlarge)
;;;;;;;
;;;;;;;
;;;;;;;
AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.;;;;;;;
;;;;;;;
I decided to sacrifice a little bit of RDS horsepower and pick a cheaper option for RDS solution which saves nearly 1K USD per month. I didn’t want to change EC2 instance types, because most of the work will be done in App servers. I saved the final 500 USD by paying upfront for RDS and EC2 instances.;;;;;;;
