User name;AWS access key;Event time;Event source;Event name;AWS region;Source IP address;User agent;Error code;Resources;Request ID;Event ID;Read-only;Event type;Recipient Account Id;Event category
CloudTrail;ASIATRNJYMTKBAJVWDH4;2020-07-20T21:47:58Z;s3.amazonaws.com;CreateBucket;us-east-2;176.54.244.188;[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.802 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation];;"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitraillog""}]";0C8600519397309B;4af3b57b-13b4-4a7c-922a-3e3458f45630;;AwsApiCall;243558540500;
CloudTrail;ASIATRNJYMTKBAJVWDH4;2020-07-20T21:47:58Z;cloudtrail.amazonaws.com;StartLogging;us-east-2;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]";3184330e-d4c4-42fa-82ad-ef1d6db68369;a8c2a5e2-33c9-42ed-902c-547b49f58711;FALSE;AwsApiCall;243558540500;
CloudTrail;ASIATRNJYMTKBAJVWDH4;2020-07-20T21:47:58Z;cloudtrail.amazonaws.com;PutEventSelectors;us-east-2;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:243558540500:trail/Udacity_Trail""}]";4011c61c-2ff3-46d6-bdf6-aab2522d4dfc;ae29e12e-b106-4edd-8b6b-491ab2db6355;FALSE;AwsApiCall;243558540500;
CloudTrail;ASIATRNJYMTKBAJVWDH4;2020-07-20T21:47:58Z;cloudtrail.amazonaws.com;CreateTrail;us-east-2;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:243558540500:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitraillog""}]";64f3e450-0060-43cf-a185-28ffdea36e2e;c43dcfdf-573a-4b9b-abfb-871b1402ada8;FALSE;AwsApiCall;243558540500;
CloudTrail;ASIATRNJYMTKBAJVWDH4;2020-07-20T21:47:58Z;s3.amazonaws.com;PutBucketPolicy;us-east-2;176.54.244.188;[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.802 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation];;"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitraillog""}]";05B63913DBEFDEF4;cd46caf0-4638-4cab-b947-d9d9c5c8dafe;;AwsApiCall;243558540500;
Accountant;ASIATRNJYMTKFWJKIMNT;2020-07-20T21:43:34Z;iam.amazonaws.com;ChangePassword;us-east-1;AWS Internal;AWS Internal;;[];c86d38c6-12e2-4e14-9510-85459af56966;7fba0aaa-816a-4167-bc42-091d5ea174b1;FALSE;AwsApiCall;243558540500;
CloudTrail;ASIATRNJYMTKE5JZBEGN;2020-07-20T21:42:09Z;iam.amazonaws.com;ChangePassword;us-east-1;AWS Internal;AWS Internal;;[];a0c4dece-4eff-45b9-87f1-eb7f2d22832b;a77053c2-381f-442d-a961-b2cd629f9d26;FALSE;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:41:44Z;iam.amazonaws.com;UpdateLoginProfile;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]";49837aff-1b8b-4ef6-8184-a441d6ced58b;16d16e47-5550-470c-8fe5-a1da857a91e6;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:39:26Z;iam.amazonaws.com;CreateLoginProfile;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]";08e5b46b-6905-40a2-af18-b0e0798f247f;a2501d3c-2757-40be-893b-ea06807b0e8e;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:39:25Z;iam.amazonaws.com;AddUserToGroup;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]";a1110633-63d5-4dc6-8e99-3628374187e9;1faa2d03-d863-46fe-9ac9-734e90ab9924;;AwsApiCall;243558540500;
